Dataset_id,Public_dataset_id,Normation,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,Zhu_Age,N_cells,Protocol,Methodology,Model,
AD001001,syn18485175; syn21125841,logcounts,"31042697,31932797",AD,Healthy,,Human,Prefrontal cortex,,Male,1 - 3; 2 - 4,75-90+ years; 77-90+ years,75-90+ years; 77-90+ years,29342,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001002,syn18485175,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Male,"""5-6""",75-90+ years,75-90+ years,5103,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001003,syn18485175,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Female,"""5-6""",75-90+ years,75-90+ years,5679,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001004,syn18485175,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Male,"""5-6""",75-90+ years,75-90+ years,,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001005,syn18485175,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Female,"""5-6""",75-90+ years,75-90+ years,11542,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001006,syn18485175; syn21125841,logcounts,"31042697,31932797",AD,Healthy,,Human,Prefrontal cortex,,Female,"1 - 4; 1, 3, 4",75-90+ years; 77-90+ years,75-90+ years; 77-90+ years,56329,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001007,syn21125841,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Male,"3, 5",77-90+ years,77-90+ years,16954,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001008,syn21125841,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Male,"""5-6""",77-90+ years,77-90+ years,11403,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001009,syn21125841,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Female,"3, 5",77-90+ years,77-90+ years,9891,10x Genomics,Single-nucleus RNA sequencing,NA,
AD001010,syn21125841,logcounts,"31042697,31932797",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,,Female,"1, 4 - 5",77-90+ years,77-90+ years,15300,10x Genomics,Single-nucleus RNA sequencing,NA,
AD002001,GSE138852; GSE147528,logcounts,"31768052,33432193",AD,Healthy,,Human,Entorhinal Cortex,,Male,0,"mean age 77.6, range 67.3-91 years; 50-91 years","mean age 77.6 yeears, 67.3-91 years; 50-91 years",29993,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA,
AD002002,GSE138852,logcounts,"31768052,33432193",AD,Healthy,,Human,Entorhinal Cortex,,Female,NA,"mean age 77.6, range 67.3-91 years","mean age 77.6 years,  67.3-91 years",1122,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA,
AD002003,GSE138852,logcounts,"31768052,33432193",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,,Male,"""5-6""","mean age 77.6, range 67.3-91 years","mean age 77.6 years,67.3-91 years",3770,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA,
AD002004,GSE138852,logcounts,"31768052,33432193",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,,Female,4,"mean age 77.6, range 67.3-91 years","mean age 77.6 years, 67.3-91 years",2303,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA,
AD002005,GSE147528,logcounts,"31768052,33432193",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,,Male,2,50-91 years,50-91 years,19282,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA,
AD002006,GSE147528,logcounts,"31768052,33432193",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,,Male,6,50-91 years,50-91 years,25537,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA,
AD003001,GSE98969; GSE140510,logcounts,"28602351,31932797",AD,Healthy,,Mouse,Cortex,,Male,NA,6 month; 7 months,6 month; 7 months,25775,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,C57BL/6J; B6,
AD003002,GSE140399,logcounts,"28602351,31932797",AD,Healthy,,Mouse,Cortex,,Male,NA,15 months,15 months,10548,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,B6,
AD003003,GSE98969,logcounts,"28602351,31932797",AD,Disease,AD003001,Mouse,Cortex,,Male,NA,6 months,6 months,2261,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,5XFAD,
AD003004,GSE140510,logcounts,"28602351,31932797",AD,Disease,AD003001,Mouse,Cortex,,Male,NA,7 months,7 months,21444,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2_KO mice,
AD003005,GSE140510,logcounts,"28602351,31932797",AD,Disease,AD003001,Mouse,Cortex,,Male,NA,7 months,7 months,16810,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,WT_5XFAD mice,
AD003006,GSE140510,logcounts,"28602351,31932797",AD,Disease,AD003001,Mouse,Cortex,,Male,NA,7 months,7 months,19188,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2_KO_5XFAD mice,
AD003007,GSE140399,logcounts,"28602351,31932797",AD,Disease,AD003002,Mouse,Cortex,,Male,NA,15 months,15 months,6675,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2_KO mice,
AD003008,GSE140399,logcounts,"28602351,31932797",AD,Disease,AD003002,Mouse,Cortex,,Male,NA,15 months,15 months,4742,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,s,
AD003009,GSE140399,logcounts,"28602351,31932797",AD,Disease,AD003002,Mouse,Cortex,,Male,NA,15 months,15 months,4708,MARS-seq; 10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2_KO_5XFAD,
AD004001,GSE147495,logcounts,32320664,AD,Healthy,,Mouse,Forebrain ,,Female,NA,10-12 months,10-12 months,8153,10x Genomics,Single-cell RNA sequencing,B6C3,
AD004002,GSE147495,logcounts,32320664,AD,Disease,AD004001,Mouse,Forebrain ,,Female,NA,10-12 months,10-12 months,6243,10x Genomics,Single-cell RNA sequencing,APP/PS1 transgenic mice,
