Dataset_id,Public_dataset_id,Data_path,Data_type,Notes_download,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,N_cells,Protocol,Methodology,Model,Protocol details,JUST KEEP FOR SEARCH (NO NEED),Notes,
AD001001,syn18485175; syn21125841,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001001.h5ad,ssREAD,,"31042697,31932797",AD,Healthy,,Human,Prefrontal cortex,,Male,1 - 3; 2 - 4,75-90+ years; 77-90+ years,29342,,,NA,,,,
AD001002,syn18485175,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001002.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Male,"""5-6""",75-90+ years,5103,,,NA,,,,
AD001003,syn18485175,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001003.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Female,"""5-6""",75-90+ years,5679,,,NA,,,,
AD001004,syn18485175,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001004.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Male,"""5-6""",75-90+ years,8283,,,NA,,,,
AD001005,syn18485175,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001005.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Female,"""5-6""",75-90+ years,11542,,,NA,,,,
AD001006,syn18485175; syn21125841,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001006.h5ad,ssREAD,,"31042697,31932797",AD,Healthy,,Human,Prefrontal cortex,,Female,"1 - 4; 1, 3, 4",75-90+ years; 77-90+ years,56329,,,NA,,,,
AD001007,syn21125841,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001007.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Male,"3, 5",77-90+ years,16954,,,NA,,,,
AD001008,syn21125841,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001008.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Male,"""5-6""",77-90+ years,11403,,,NA,,,,
AD001009,syn21125841,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001009.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Female,"3, 5",77-90+ years,9891,,,NA,,,,
AD001010,syn21125841,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD001010.h5ad,ssREAD,,"31042697,31932797",AD,Disease,,Human,Prefrontal cortex,,Female,"1, 4 - 5",77-90+ years,15300,,,NA,,,,
AD002001,GSE138852; GSE147528,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD002001.h5ad,ssREAD,,"31768052,33432193",AD,Healthy,,Human,Entorhinal Cortex,,Male,0,"mean age 77.6, range 67.3-91 years; 50-91 years",29993,,,NA,,,,
AD002002,GSE138852,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD002002.h5ad,ssREAD,,"31768052,33432193",AD,Healthy,,Human,Entorhinal Cortex,,Female,NA,"mean age 77.6, range 67.3-91 years",1122,,,NA,,,,
AD002003,GSE138852,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD002003.h5ad,ssREAD,,"31768052,33432193",AD,Disease,,Human,Entorhinal Cortex,,Male,"""5-6""","mean age 77.6, range 67.3-91 years",3770,,,NA,,,,
AD002004,GSE138852,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD002004.h5ad,ssREAD,,"31768052,33432193",AD,Disease,,Human,Entorhinal Cortex,,Female,4,"mean age 77.6, range 67.3-91 years",2303,,,NA,,,,
AD002005,GSE147528,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD002005.h5ad,ssREAD,,"31768052,33432193",AD,Disease,,Human,Entorhinal Cortex,,Male,2,50-91 years,19282,,,NA,,,,
AD002006,GSE147528,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD002006.h5ad,ssREAD,,"31768052,33432193",AD,Disease,,Human,Entorhinal Cortex,,Male,6,50-91 years,25537,,,NA,,,,
AD003001,GSE98969; GSE140510,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003001.h5ad,ssREAD,,"28602351,31932797",AD,Healthy,,Mouse,Cortex,,Male,NA,6 month; 7 months,25775,,,C57BL/6J; B6,,,,
AD003002,GSE140399,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003002.h5ad,ssREAD,,"28602351,31932797",AD,Healthy,,Mouse,Cortex,,Male,NA,15 months,10548,,,B6,,,,
AD003003,GSE98969,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003003.h5ad,ssREAD,,"28602351,31932797",AD,Disease,,Mouse,Cortex,,Male,NA,6 months,2261,,,5XFAD,,,,
AD003004,GSE140510,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003004.h5ad,ssREAD,,"28602351,31932797",AD,Disease,,Mouse,Cortex,,Male,NA,7 months,21444,,,Trem2_KO mice,,,,
