Paper_id,public_data_id,Disease,species,n_samples,pmid,library_prep_protocol,methodology,title,journal,author,citation,abstract,doi,Publish date,Brain Region,drug?,single cell?,scRNA index,figure_type
ST001,https://github.com/LieberInstitute/spatialLIBD     https://github.com/LieberInstitute/HumanPilot,AD,Human,12,33558695,10X genomics,,Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex,Nature Neuroscience,"Kristen R Maynard, Leonardo Collado-Torres, Lukas M Weber, Cedric Uytingco, Brianna K Barry, Stephen R Williams, Joseph L Catallini 2nd, Matthew N Tran, Zachary Besich, Madhavi Tippani, Jennifer Chew, Yifeng Yin, Joel E Kleinman, Thomas M Hyde, Nikhil Rao, Stephanie C Hicks, Keri Martinowich, Andrew E Jaffe","Maynard KR, Collado-Torres L, Weber LM, et al. Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex [published correction appears in Nat Neurosci. 2021 Feb 18;:]. Nat Neurosci. 2021;24(3):425-436. doi:10.1038/s41593-020-00787-0","We used the 10x Genomics Visium platform to define the spatial topography of gene expression in the six-layered human dorsolateral prefrontal cortex. We identified extensive layer-enriched expression signatures and refined associations to previous laminar markers. We overlaid our laminar expression signatures on large-scale single nucleus RNA-sequencing data, enhancing spatial annotation of expression-driven clusters. By integrating neuropsychiatric disorder gene sets, we showed differential layer-enriched expression of genes associated with schizophrenia and autism spectrum disorder, highlighting the clinical relevance of spatially defined expression. We then developed a data-driven framework to define unsupervised clusters in spatial transcriptomics data, which can be applied to other tissues or brain regions in which morphological architecture is not as well defined as cortical laminae. Last, we created a web application for the scientific community to explore these raw and summarized data to augment ongoing neuroscience and spatial transcriptomics research ( http://research.libd.org/spatialLIBD ).",10.1038/s41593-020-00787-0,2/8/21,DLPFC,,,,H&E
ST002,GSE152506,AD,"Mouse, Human",20,32702314,10X genomics,2D-RNAseq ST,Spatial Transcriptomics and In Situ Sequencing to Study Alzheimer's Disease,Cell,"Wei-Ting Chen, Ashley Lu, Katleen Craessaerts, Benjamin Pavie, Carlo Sala Frigerio, Nikky Corthout, Xiaoyan Qian, Jana Laláková, Malte Kühnemund, Iryna Voytyuk, Leen Wolfs, Renzo Mancuso, Evgenia Salta, Sriram Balusu, An Snellinx, Sebastian Munck, Aleksandra Jurek, Jose Fernandez Navarro, Takaomi C Saido, Inge Huitinga, Joakim Lundeberg, Mark Fiers, Bart De Strooper","Chen WT, Lu A, Craessaerts K, et al. Spatial Transcriptomics and In Situ Sequencing to Study Alzheimer's Disease. Cell. 2020;182(4):976-991.e19. doi:10.1016/j.cell.2020.06.038","Although complex inflammatory-like alterations are observed around the amyloid plaques of Alzheimer's disease (AD), little is known about the molecular changes and cellular interactions that characterize this response. We investigate here, in an AD mouse model, the transcriptional changes occurring in tissue domains in a 100-μm diameter around amyloid plaques using spatial transcriptomics. We demonstrate early alterations in a gene co-expression network enriched for myelin and oligodendrocyte genes (OLIGs), whereas a multicellular gene co-expression network of plaque-induced genes (PIGs) involving the complement system, oxidative stress, lysosomes, and inflammation is prominent in the later phase of the disease. We confirm the majority of the observed alterations at the cellular level using in situ sequencing on mouse and human brain sections. Genome-wide spatial transcriptomics analysis provides an unprecedented approach to untangle the dysregulated cellular network in the vicinity of pathogenic hallmarks of AD and other brain diseases.",10.1016/j.cell.2020.06.038,8/20/20,"Whole Brain (Mouse), SFG (Human)",,,,H&E
ST003,10.17632/6s959w2zyr.1 https://data.mendeley.com/datasets/6s959w2zyr/2,AD,Mouse,48,33083725,10X genomics,,Spatial Transcriptomics Reveals Genes Associated with Dysregulated Mitochondrial Functions and Stress Signaling in Alzheimer Disease,iScience,"José Fernández Navarro, Deborah L Croteau, Aleksandra Jurek, Zaneta Andrusivova, Beimeng Yang, Yue Wang, Benjamin Ogedegbe, Tahira Riaz, Mari Støen, Claus Desler, Lene Juel Rasmussen, Tone Tønjum, Marie-Christine Galas, Joakim Lundeberg, Vilhelm A Bohr","Navarro JF, Croteau DL, Jurek A, Andrusivova Z, Yang B, Wang Y, Ogedegbe B, Riaz T, Støen M, Desler C, Rasmussen LJ, Tønjum T, Galas MC, Lundeberg J, Bohr VA. Spatial Transcriptomics Reveals Genes Associated with Dysregulated Mitochondrial Functions and Stress Signaling in Alzheimer Disease. iScience. 2020 Sep 15;23(10):101556. doi: 10.1016/j.isci.2020.101556. PMID: 33083725; PMCID: PMC7522123.","Alzheimer disease (AD) is a devastating neurological disease associated with progressive loss of mental skills and cognitive and physical functions whose etiology is not completely understood. Here, our goal was to simultaneously uncover novel and known molecular targets in the structured layers of the hippocampus and olfactory bulbs that may contribute to early hippocampal synaptic deficits and olfactory dysfunction in AD mice. Spatially resolved transcriptomics was used to identify high-confidence genes that were differentially regulated in AD mice relative to controls. A diverse set of genes that modulate stress responses and transcription were predominant in both hippocampi and olfactory bulbs. Notably, we identify Bok, implicated in mitochondrial physiology and cell death, as a spatially downregulated gene in the hippocampus of mouse and human AD brains. In summary, we provide a rich resource of spatially differentially expressed genes, which may contribute to understanding AD pathology.",10.1016/j.isci.2020.101556,10/23/20,Hippocampus and Olfactory bulb,,,,
ST004, GSE130682,AD,"Mouse, Human",3,31501547,10X genomics,,High-definition spatial transcriptomics for in situ tissue profiling,Nature Methods,"Sanja Vickovic, Gökcen Eraslan, Fredrik Salmén, Johanna Klughammer, Linnea Stenbeck, Denis Schapiro, Tarmo Äijö, Richard Bonneau, Ludvig Bergenstråhle, José Fernandéz Navarro, Joshua Gould, Gabriel K Griffin, Åke Borg, Mostafa Ronaghi, Jonas Frisén, Joakim Lundeberg, Aviv Regev, Patrik L Ståhl","Vickovic S, Eraslan G, Salmén F, Klughammer J, Stenbeck L, Schapiro D, Äijö T, Bonneau R, Bergenstråhle L, Navarro JF, Gould J, Griffin GK, Borg Å, Ronaghi M, Frisén J, Lundeberg J, Regev A, Ståhl PL. High-definition spatial transcriptomics for in situ tissue profiling. Nat Methods. 2019 Oct;16(10):987-990. doi: 10.1038/s41592-019-0548-y. Epub 2019 Sep 9. PMID: 31501547; PMCID: PMC6765407.","Spatial and molecular characteristics determine tissue function, yet high-resolution methods to capture both concurrently are lacking. Here, we developed high-definition spatial transcriptomics, which captures RNA from histological tissue sections on a dense, spatially barcoded bead array. Each experiment recovers several hundred thousand transcript-coupled spatial barcodes at 2-μm resolution, as demonstrated in mouse brain and primary breast cancer. This opens the way to high-resolution spatial analysis of cells and tissues.",10.1038/s41592-019-0548-y,9/9/19,Main Olfactory Bulb,,,,
ST005,10.5281/zenodo.2571615 https://singlecell.broadinstitute.org/single_cell/study/SCP354/slide-seq-study,AD,Mouse,106,30923225,Slide-seq (developed new protocol),,Slide-seq: A scalable technology for measuring genome-wide expression at high spatial resolution,Science,"Samuel G Rodriques, Robert R Stickels, Aleksandrina Goeva, Carly A Martin, Evan Murray, Charles R Vanderburg, Joshua Welch, Linlin M Chen, Fei Chen, Evan Z Macosko ","Rodriques SG, Stickels RR, Goeva A, Martin CA, Murray E, Vanderburg CR, Welch J, Chen LM, Chen F, Macosko EZ. Slide-seq: A scalable technology for measuring genome-wide expression at high spatial resolution. Science. 2019 Mar 29;363(6434):1463-1467. doi: 10.1126/science.aaw1219. Epub 2019 Mar 28. PMID: 30923225; PMCID: PMC6927209.","Spatial positions of cells in tissues strongly influence function, yet a high-throughput, genome-wide readout of gene expression with cellular resolution is lacking. We developed Slide-seq, a method for transferring RNA from tissue sections onto a surface covered in DNA-barcoded beads with known positions, allowing the locations of the RNA to be inferred by sequencing. Using Slide-seq, we localized cell types identified by single-cell RNA sequencing datasets within the cerebellum and hippocampus, characterized spatial gene expression patterns in the Purkinje layer of mouse cerebellum, and defined the temporal evolution of cell type-specific responses in a mouse model of traumatic brain injury. These studies highlight how Slide-seq provides a scalable method for obtaining spatially resolved gene expression data at resolutions comparable to the sizes of individual cells.",10.1126/science.aaw1219,3/29/19,"Whole brain, hippocampus",,,,
ST006,https://singlecell.broadinstitute.org/single_cell/study/SCP815/highly-sensitive-spatial-transcriptomics-at-near-cellular-resolution-with-slide-seqv2study-summary,AD,Mouse,11,33288904,Slide-seqV2 (developed new protocol),,Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2,Nature Biotechnology,"Robert R Stickels, Evan Murray, Pawan Kumar, Jilong Li, Jamie L Marshall, Daniela J Di Bella, Paola Arlotta, Evan Z Macosko, Fei Chen ","Stickels RR, Murray E, Kumar P, Li J, Marshall JL, Di Bella DJ, Arlotta P, Macosko EZ, Chen F. Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2. Nat Biotechnol. 2021 Mar;39(3):313-319. doi: 10.1038/s41587-020-0739-1. Epub 2020 Dec 7. PMID: 33288904; PMCID: PMC8606189.","Measurement of the location of molecules in tissues is essential for understanding tissue formation and function. Previously, we developed Slide-seq, a technology that enables transcriptome-wide detection of RNAs with a spatial resolution of 10 μm. Here we report Slide-seqV2, which combines improvements in library generation, bead synthesis and array indexing to reach an RNA capture efficiency ~50% that of single-cell RNA-seq data (~10-fold greater than Slide-seq), approaching the detection efficiency of droplet-based single-cell RNA-seq techniques. First, we leverage the detection efficiency of Slide-seqV2 to identify dendritically localized mRNAs in neurons of the mouse hippocampus. Second, we integrate the spatial information of Slide-seqV2 data with single-cell trajectory analysis tools to characterize the spatiotemporal development of the mouse neocortex, identifying underlying genetic programs that were poorly sampled with Slide-seq. The combination of near-cellular resolution and high transcript detection efficiency makes Slide-seqV2 useful across many experimental contexts.",10.1038/s41587-020-0739-1,12/7/20,"Whole brain, hippocampus",,,,
ST007,GSE147747,AD,Mouse,75,32637622,ST,,Molecular atlas of the adult mouse brain,science advances,"Cantin Ortiz, Jose Fernandez Navarro, Aleksandra Jurek, Antje Märtin, Joakim Lundeber,, Konstantinos Meletis","Ortiz C, Navarro JF, Jurek A, Märtin A, Lundeberg J, Meletis K. Molecular atlas of the adult mouse brain. Sci Adv. 2020 Jun 26;6(26):eabb3446. ","Brain maps are essential for integrating information and interpreting the structure-function relationship of circuits and behavior. We aimed to generate a systematic classification of the adult mouse brain based purely on the unbiased identification of spatially defining features by employing whole-brain spatial transcriptomics. We found that the molecular information was sufficient to deduce the complex and detailed neuroanatomical organization of the brain. The unsupervised (non-expert, data-driven) classification revealed new area- and layer-specific subregions, for example in isocortex and hippocampus, and new subdivisions of striatum. The molecular atlas further supports the characterization of the spatial identity of neurons from their single-cell RNA profile, and provides a resource for annotating the brain using a minimal gene set—a brain palette. In summary, we have established a molecular atlas to formally define the spatial organization of brain regions, including the molecular code for mapping and targeting of discrete neuroanatomical domains.",10.1126/sciadv.abb3446,6/26/20,Whole Brain,,,,H&E
ST008,GSE165098,AD,Mouse,6,34413515,10x genomics,,Neuroinflammatory astrocyte subtypes in the mouse brain,Nature Neuroscience,"Philip Hasel, Indigo V. L. Rose, Jessica S. Sadick, Rachel D. Kim & Shane A. Liddelow","Hasel P, Rose IVL, Sadick JS, Kim RD, Liddelow SA. Neuroinflammatory astrocyte subtypes in the mouse brain. Nat Neurosci. 2021 Oct;24(10):1475–87. ","Astrocytes undergo an inflammatory transition after infections, acute injuries and chronic neurodegenerative diseases. How this transition is affected by time and sex, its heterogeneity at the single-cell level and how sub-states are spatially distributed in the brain remains unclear. In this study, we investigated transcriptome changes of mouse cortical astrocytes after an acute inflammatory stimulus using the bacterial cell wall endotoxin lipopolysaccharide. We identified fast transcriptomic changes in astrocytes occurring within hours that drastically change over time. By sequencing ~80,000 astrocytes at single-cell resolution, we show that inflammation causes a widespread response with subtypes of astrocytes undergoing distinct inflammatory transitions with defined transcriptomic profiles. We also attribute key sub-states of inflammation-induced reactive astrocytes to specific brain regions using spatial transcriptomics and in situ hybridization. Together, our datasets provide a powerful resource for profiling astrocyte heterogeneity and will be useful for understanding the biological importance of regionally constrained reactive astrocyte sub-states.",10.1038/s41593-021-00905-6,8/19/21,Whole Brain,,,AD065,H&E
ST009,https://kise-my.sharepoint.com/:f:/g/personal/michael_ratz_ki_se/EndBZ9VI_rRHmHzZxrAwSZQBeE9e4RNmktbuCcHir1a5qQ?e=Ge2Fqm password: 8RMG.xbzH?3v9Ef4,AD,Mouse,8,35210624,10x genomics,,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,Nature Neuroscience,"Michael Ratz, Leonie von Berlin, Ludvig Larsson, Marcel Martin, Jakub Orzechowski Westholm, Gioele La Manno, Joakim Lundeberg & Jonas Frisén","Ratz M, von Berlin L, Larsson L, Martin M, Westholm JO, La Manno G, et al. Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics. Nat Neurosci. 2022 Mar;25(3):285–94. ","The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",10.1038/s41593-022-01011-x,2/24/22,"Whole brain, hippocampus",,,,
ST010,GSE158450,AD,Mouse,11,33469025,10x genomics,,A spatially resolved brain region- and cell type-specific isoform atlas of the postnatal mouse brain,Nature Communications,"Anoushka Joglekar, Andrey Prjibelski, Ahmed Mahfouz, Paul Collier, Susan Lin, Anna Katharina Schlusche, Jordan Marrocco, Stephen R. Williams, Bettina Haase, Ashley Hayes, Jennifer G. Chew, Neil I. Weisenfeld, Man Ying Wong, Alexander N. Stein, Simon A. Hardwick, Toby Hunt, Qi Wang, Christoph Dieterich, Zachary Bent, Olivier Fedrigo, Steven A. Sloan, Davide Risso, Erich D. Jarvis, Paul Flicek, Wenjie Luo, Geoffrey S. Pitt, Adam Frankish, August B. Smit, M. Elizabeth Ross & Hagen U. Tilgner","Joglekar A, Prjibelski A, Mahfouz A, Collier P, Lin S, Schlusche AK, et al. A spatially resolved brain region- and cell type-specific isoform atlas of the postnatal mouse brain. Nat Commun. 2021 Jan 19;12(1):463. ","Splicing varies across brain regions, but the single-cell resolution of regional variation is unclear. We present a single-cell investigation of differential isoform expression (DIE) between brain regions using single-cell long-read sequencing in mouse hippocampus and prefrontal cortex in 45 cell types at postnatal day 7 (www.isoformAtlas.com). Isoform tests for DIE show better performance than exon tests. We detect hundreds of DIE events traceable to cell types, often corresponding to functionally distinct protein isoforms. Mostly, one cell type is responsible for brain-region specific DIE. However, for fewer genes, multiple cell types influence DIE. Thus, regional identity can, although rarely, override cell-type specificity. Cell types indigenous to one anatomic structure display distinctive DIE, e.g. the choroid plexus epithelium manifests distinct transcription-start-site usage. Spatial transcriptomics and long-read sequencing yield a spatially resolved splicing map. Our methods quantify isoform expression with cell-type and spatial resolution and it contributes to further our understanding of how the brain integrates molecular and cellular complexity.",10.1038/s41467-020-20343-5,1/19/21,Whole Brain,,,,
