Paper_id,Dataset_id,Public_dataset_id,slide_id,Pubmed_id,Disease,Status,Control,Species,Brain_region,Sex,Stage,Age,N_cells,Methodology,model,
ST001,ST001001,,151507,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,34.56,,Visium,No data available,
ST001,ST001002,,151508,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,34.56,,Visium,No data available,
ST001,ST001003,,151509,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,34.56,,Visium,No data available,
ST001,ST001004,,151510,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,34.56,,Visium,No data available,
ST001,ST001005,,151669,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,46.52,,Visium,No data available,
ST001,ST001006,,151670,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,46.52,,Visium,No data available,
ST001,ST001007,,151671,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,46.52,,Visium,No data available,
ST001,ST001008,,151672,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Male,No data available,46.52,,Visium,No data available,
ST001,ST001009,,151673,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Female,No data available,30.29,,Visium,No data available,
ST001,ST001010,,151674,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Female,No data available,30.29,,Visium,No data available,
ST001,ST001011,,151675,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Female,No data available,30.29,,Visium,No data available,
ST001,ST001012,,151676,33558695,AD,Healthy,NA,Human,dorsolateral prefrontal cortex,Female,No data available,30.29,,Visium,No data available,
ST002,ST002001,GSM4647056,B02_D1,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002002,GSM4647057,B02_E1,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002003,GSM4647058,B03_C2,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002004,GSM4647059,B03_D2,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002005,GSM4647068,B04_D1,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002006,GSM4647069,B04_E1,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002007,GSM4647070,B05_D2,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002008,GSM4647071,B05_E2,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002009,GSM4647066,B06_E1,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,12mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002010,GSM4647064,B07_C2,32702314,AD,Healthy,NA,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,6mo,,In situ 2D-RNaseq,C57Bl/6J;WT,
ST002,ST002011,GSM4647060,N02_C1,32702314,AD,Disease,"ST002001,ST002002,ST002003,ST002004",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002012,GSM4647061,N02_D1,32702314,AD,Disease,"ST002001,ST002002,ST002003,ST002004",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002013,GSM4647062,N03_C2,32702314,AD,Disease,"ST002001,ST002002,ST002003,ST002004",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002014,GSM4647063,N03_D2,32702314,AD,Disease,"ST002001,ST002002,ST002003,ST002004",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,3mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002015,GSM4647072,N04_D1,32702314,AD,Disease,"ST002005,ST002006,ST002007,ST002008",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002016,GSM4647073,N04_E1,32702314,AD,Disease,"ST002005,ST002006,ST002007,ST002008",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002017,GSM4647074,N05_C2,32702314,AD,Disease,"ST002005,ST002006,ST002007,ST002008",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002018,GSM4647075,N05_D2,32702314,AD,Disease,"ST002005,ST002006,ST002007,ST002008",Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,18mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002019,GSM4647067,N06_D2,32702314,AD,Disease,ST002009,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,12mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST002,ST002020,GSM4647065,N07_C1,32702314,AD,Disease,ST002010,Mouse,coronal section bregma: - 2.0 to -2.2,Male,No data available,6mo,,In situ 2D-RNaseq,APPNL-G-F;TG,
ST003,ST003001,,ad_rep1,33083725,AD,Disease,"ST003019,ST003020,ST003021,ST003022,ST003023,ST003024",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xAD,
ST003,ST003002,,ad_rep2,33083725,AD,Disease,"ST003019,ST003020,ST003021,ST003022,ST003023,ST003024",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xAD,
ST003,ST003003,,ad_rep3,33083725,AD,Disease,"ST003019,ST003020,ST003021,ST003022,ST003023,ST003024",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xAD,
ST003,ST003004,,ad_rep4,33083725,AD,Disease,"ST003019,ST003020,ST003021,ST003022,ST003023,ST003024",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xAD,
ST003,ST003005,,ad_rep5,33083725,AD,Disease,"ST003019,ST003020,ST003021,ST003022,ST003023,ST003024",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xAD,
ST003,ST003006,,ad_rep6,33083725,AD,Disease,"ST003019,ST003020,ST003021,ST003022,ST003023,ST003024",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xAD,
ST003,ST003007,,adpolb_rep1,33083725,AD,Disease,"ST003013,ST003014,ST003015,ST003016,ST003017,ST003018",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003008,,adpolb_rep2,33083725,AD,Disease,"ST003013,ST003014,ST003015,ST003016,ST003017,ST003018",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003009,,adpolb_rep3,33083725,AD,Disease,"ST003013,ST003014,ST003015,ST003016,ST003017,ST003018",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003010,,adpolb_rep4,33083725,AD,Disease,"ST003013,ST003014,ST003015,ST003016,ST003017,ST003018",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003011,,adpolb_rep5,33083725,AD,Disease,"ST003013,ST003014,ST003015,ST003016,ST003017,ST003018",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003012,,adpolb_rep6,33083725,AD,Disease,"ST003013,ST003014,ST003015,ST003016,ST003017,ST003018",Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003013,,polb_rep1,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003014,,polb_rep2,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003015,,polb_rep5,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003016,,polb_rep6,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003017,,polb_rep7,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003018,,polb_rep8,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,3xPB,
ST003,ST003019,,wt_rep1,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,WT,
ST003,ST003020,,wt_rep2,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,WT,
ST003,ST003021,,wt_rep3,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,WT,
ST003,ST003022,,wt_rep4,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,WT,
ST003,ST003023,,wt_rep5,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,WT,
ST003,ST003024,,wt_rep6,33083725,AD,Healthy,NA,Mouse,olfactory bulbs,Male,early phase of the disease,11-16mo,,No data available,WT,
