Dataset_id,Public_dataset_id,Pubmed_id,Disease,Status,Control,Species,Brain_region,Sex,Stage,Age,N_cells,Protocol,Methodology,Model
AD001001,syn18485175; syn21125841,"3,104,269,731,932,790",AD,Healthy,,Human,Prefrontal cortex,Male,1 - 3; 2 - 4,75-90+ years; 77-90+ years,29342,10x Genomics,Single-nucleus RNA sequencing,NA
AD001002,syn18485175,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Male,"""5-6""",75-90+ years,5063,10x Genomics,Single-nucleus RNA sequencing,NA
AD001003,syn18485175,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Female,"""5-6""",75-90+ years,5527,10x Genomics,Single-nucleus RNA sequencing,NA
AD001004,syn18485175,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Male,"""5-6""",75-90+ years,8178,10x Genomics,Single-nucleus RNA sequencing,NA
AD001005,syn18485175,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Female,"""5-6""",75-90+ years,11436,10x Genomics,Single-nucleus RNA sequencing,NA
AD001006,syn18485175; syn21125841,"3,104,269,731,932,790",AD,Healthy,,Human,Prefrontal cortex,Female,"1 - 4; 1, 3, 4",75-90+ years; 77-90+ years,53372,10x Genomics,Single-nucleus RNA sequencing,NA
AD001007,syn21125841,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Male,"3, 5",77-90+ years,15551,10x Genomics,Single-nucleus RNA sequencing,NA
AD001008,syn21125841,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Male,"""5-6""",77-90+ years,9248,10x Genomics,Single-nucleus RNA sequencing,NA
AD001009,syn21125841,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Female,"3, 5",77-90+ years,6993,10x Genomics,Single-nucleus RNA sequencing,NA
AD001010,syn21125841,"3,104,269,731,932,790",AD,Disease,AD001001; AD001006,Human,Prefrontal cortex,Female,"1, 4 - 5",77-90+ years,13214,10x Genomics,Single-nucleus RNA sequencing,NA
AD002001,GSE138852; GSE147528,"3,176,805,233,432,190",AD,Healthy,,Human,Entorhinal Cortex,Male,0,"mean age 77.6, range 67.3-91 years; 50-91 years",28922,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA
AD002002,GSE138852,"3,176,805,233,432,190",AD,Healthy,,Human,Entorhinal Cortex,Female,NA,"mean age 77.6, range 67.3-91 years",1098,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA
AD002003,GSE138852,"3,176,805,233,432,190",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,Male,"""5-6""","mean age 77.6, range 67.3-91 years",3726,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA
AD002004,GSE138852,"3,176,805,233,432,190",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,Female,4,"mean age 77.6, range 67.3-91 years",2193,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA
AD002005,GSE147528,"3,176,805,233,432,190",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,Male,2,50-91 years,18676,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA
AD002006,GSE147528,"3,176,805,233,432,190",AD,Disease,AD002001; AD002002,Human,Entorhinal Cortex,Male,6,50-91 years,25060,10x Genomics; DroNc-seq,Single-nucleus RNA sequencing,NA
AD003001,GSE98969; GSE140510,"2,860,235,131,932,790",AD,Healthy,,Mouse,Cortex,Male,NA,6 month; 7 months,25659,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,C57BL/6J; B6
AD003002,GSE140399,"2,860,235,131,932,790",AD,Healthy,,Mouse,Cortex,Male,NA,15 months,10408,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,B6
AD003003,GSE98969,"2,860,235,131,932,790",AD,Disease,AD003001,Mouse,Cortex,Male,NA,6 months,1891,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,5XFAD
AD003004,GSE140510,"2,860,235,131,932,790",AD,Disease,AD003001,Mouse,Cortex,Male,NA,7 months,21299,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2_KO mice
AD003005,GSE140510,"2,860,235,131,932,790",AD,Disease,AD003001,Mouse,Cortex,Male,NA,7 months,16724,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,WT_5XFAD mice
AD003006,GSE140510,"2,860,235,131,932,790",AD,Disease,AD003001,Mouse,Cortex,Male,NA,7 months,19037,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2_KO_5XFAD mice
AD003007,GSE140399,"2,860,235,131,932,790",AD,Disease,AD003002,Mouse,Cortex,Male,NA,15 months,6406,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2_KO mice
AD003008,GSE140399,"2,860,235,131,932,790",AD,Disease,AD003002,Mouse,Cortex,Male,NA,15 months,4491,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,s
AD003009,GSE140399,"2,860,235,131,932,790",AD,Disease,AD003002,Mouse,Cortex,Male,NA,15 months,4454,MARS-seq; 10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2_KO_5XFAD
AD004001,GSE147495,32320664,AD,Healthy,,Mouse,Forebrain ,Female,NA,10-12 months,8095,10x Genomics,Single-cell RNA sequencing,B6C3
AD004002,GSE147495,32320664,AD,Disease,AD004001,Mouse,Forebrain ,Female,NA,10-12 months,6027,10x Genomics,Single-cell RNA sequencing,APP/PS1 transgenic mice
AD004003,GSE147495,32320664,AD,Disease,AD004001,Mouse,Forebrain ,Female,NA,10-12 months,7486,10x Genomics,Single-cell RNA sequencing,APP/PS1 IL33 mice
AD004004,GSE147495,32320664,AD,Disease,AD004001,Mouse,Forebrain ,Male,NA,10-12 months,3250,10x Genomics,Single-cell RNA sequencing,Veh_IL33 mice
AD004005,GSE147495,32320664,AD,Disease,AD004001,Mouse,Forebrain ,Male,NA,10-12 months,1672,10x Genomics,Single-cell RNA sequencing,DB2313_IL33 mice
AD005001,GSE98969,28602351,AD,Healthy,,Mouse,Whole brain,Male,NA,6 months,712,MARS-seq,Single-cell RNA sequencing,C57BL/6
AD005002,GSE98969,28602351,AD,Disease,AD005001,Mouse,Whole brain,Male,NA,6 months,1429,MARS-seq,Single-cell RNA sequencing,5XFAD
AD006001,GSE143758,32341542,AD,Healthy,,Mouse,Hippocampus,Male,NA,7 months,1540,10x Genomics,Single-nucleus RNA sequencing,C57BL/6
AD006002,GSE143758,32341542,AD,Healthy,,Mouse,Hippocampus,Male,NA,10 months,1147,10x Genomics,Single-nucleus RNA sequencing,C57BL/6
AD006003,GSE143758,32341542,AD,Disease,AD006001,Mouse,Hippocampus,Male,NA,7 months,1075,10x Genomics,Single-nucleus RNA sequencing,5XFAD
AD006004,GSE143758,32341542,AD,Disease,AD006002,Mouse,Hippocampus,Male,NA,10 months,1975,10x Genomics,Single-nucleus RNA sequencing,5XFAD
AD007002,GSE141044,"29,020,624,319,025,200,000,000,000,000,000",AD,Healthy,,Mouse,Hippocampus,Male,NA,6 months,432,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,C57BL/6J
AD007003,GSE130626; GSE140399,"29,020,624,319,025,200,000,000,000,000,000",AD,Healthy,,Mouse,Hippocampus,Male,NA,12-14 months; 15 months,3732,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,C57BL/6J; B6
AD007004,GSE141044,"29,020,624,319,025,200,000,000,000,000,000",AD,Healthy,,Mouse,Hippocampus,Female,NA,6 months,516,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,C57BL/6J
AD007005,GSE141044,"29,020,624,319,025,200,000,000,000,000,000",AD,Healthy,,Mouse,Hippocampus,Female,NA,24 months,653,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,C57BL/6J
AD007008,GSE103334,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,,Mouse,Hippocampus,Male,NA,"3 months, 3.25 months, 3.5months, 4.5 months",9,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,CK
AD007009,GSE103334,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,,Mouse,Hippocampus,Male,NA,"3 months, 3.25 months, 3.5months, 4.5 months",29,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,CK-p25
AD007010,GSE141044,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007002; AD007004,Mouse,Hippocampus,Male,NA,6 months,243,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J)
AD007011,GSE130626,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007003,Mouse,Hippocampus,Male,NA,12-14 months,755,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2 +/+ mice
AD007012,GSE130626,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007003,Mouse,Hippocampus,Male,NA,12-14 months,794,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2 +/- mice
AD007013,GSE130626,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007003,Mouse,Hippocampus,Male,NA,12-14 months,875,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2 -/- mice
AD007014,GSE130626,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007003,Mouse,Hippocampus,Male,NA,15 months,2345,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2_KO mice
AD007015,GSE130626,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007003,Mouse,Hippocampus,Male,NA,15 months,2830,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,WT_5XFAD mice
AD007016,GSE130626,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007003,Mouse,Hippocampus,Male,NA,15 months,2597,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,Trem2_KO_5XFAD mice
AD007017,GSE141044,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007003,Mouse,Hippocampus,Male,NA,24 months,456,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J)
AD007018,GSE141044,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007004,Mouse,Hippocampus,Female,NA,6 months,559,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J)
AD007019,GSE141044,"29,020,624,319,025,200,000,000,000,000,000",AD,Disease,AD007005,Mouse,Hippocampus,Female,NA,24 months,377,Smart-seq2;10x Genomics,Single-cell RNA sequencing/Single-nucleus RNA sequencing ,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J)
AD008001,GSE147528,33432193,AD,Healthy,,Human,Prefrontal cortex,Male,0,50-91 years,32417,10x Genomics,Single-nucleus RNA sequencing,NA
AD008002,GSE147528,33432193,AD,Disease,AD008001,Human,Prefrontal cortex,Male,2,50-91 years,27194,10x Genomics,Single-nucleus RNA sequencing,NA
AD008003,GSE147528,33432193,AD,Disease,AD008001,Human,Prefrontal cortex,Male,6,50-91 years,32008,10x Genomics,Single-nucleus RNA sequencing,NA
AD009001,GSE150358,32579671,AD,Healthy,,Mouse,Cortex and hippocampus,Female,NA,5.5 months,2755,10x Genomics,Single-nucleus RNA sequencing,5XFAD-CV
AD009002,GSE150358,32579671,AD,Healthy,,Mouse,Cortex and hippocampus,Female,NA,5.5 months,17994,10x Genomics,Single-nucleus RNA sequencing,5XFAD-R47H
AD009003,GSE150358,32579671,AD,Disease,AD009001,Mouse,Cortex and hippocampus,Female,NA,5.5 months,5682,10x Genomics,Single-nucleus RNA sequencing,5XFAD-CV
AD009004,GSE150358,32579671,AD,Disease,AD009002,Mouse,Cortex and hippocampus,Female,NA,5.5 months,16646,10x Genomics,Single-nucleus RNA sequencing,5XFAD-R47H
AD010001,GSE142853,32503894,AD,Healthy,,Mouse,Subventricular zone and hippocampus,Female,NA,8 months,1670,10x Genomics,Single-cell RNA sequencing,B6129SF2/J
AD010002,GSE142853,32503894,AD,Healthy,,Mouse,Subventricular zone and hippocampus,Female,NA,7 months,1689,10x Genomics,Single-cell RNA sequencing,isotype treated 3XTg-AD
AD010003,GSE142853,32503894,AD,Disease,AD010001,Mouse,Subventricular zone and hippocampus,Female,NA,8 months,1681,10x Genomics,Single-cell RNA sequencing,Triple-transgenic Alzheimer disease (AD) mouse model
AD010004,GSE142853,32503894,AD,Disease,AD010001,Mouse,Subventricular zone and hippocampus,Female,NA,7 months,1162,10x Genomics,Single-cell RNA sequencing,anti-Nk1.1 treated 3XTg-AD
AD011001,GSE129308,35882228,AD,Healthy,,Human,Prefrontal cortex,Male,6,57-93 years,13018,10x Genomics,Single-cell RNA sequencing,NA
AD011002,GSE129308,35882228,AD,Healthy,,Human,Prefrontal cortex,Female,6,57-93 years,24097,10x Genomics,Single-cell RNA sequencing,NA
AD011003,GSE129308,35882228,AD,Disease,AD011001,Human,Prefrontal cortex,Male,6,57-93 years,9000,10x Genomics,Single-cell RNA sequencing,NA
AD011004,GSE129308,35882228,AD,Disease,AD011002,Human,Prefrontal cortex,Female,6,57-93 years,11609,10x Genomics,Single-cell RNA sequencing,NA
AD012001,GSE146639,33192286,AD,Healthy,,Human,Superior parietal lobe,Male,NA,72-103 years,767,10x Genomics,Single-nucleus RNA sequencing,NA
AD012002,GSE146639,33192286,AD,Healthy,,Human,Superior parietal lobe,Female,NA,72-103 years,930,10x Genomics,Single-nucleus RNA sequencing,NA
AD012003,GSE146639,33192286,AD,Disease,AD012001,Human,Superior parietal lobe,Male,NA,72-103 years,2749,10x Genomics,Single-nucleus RNA sequencing,NA
AD012004,GSE146639,33192286,AD,Disease,AD012002,Human,Superior parietal lobe,Female,NA,72-103 years,962,10x Genomics,Single-nucleus RNA sequencing,NA
AD012005,GSE146639,33192286,AD,Disease,AD012001,Human,Superior parietal lobe,Male,NA,72-103 years,1452,10x Genomics,Single-nucleus RNA sequencing,NA
AD012006,GSE146639,33192286,AD,Disease,AD012002,Human,Superior parietal lobe,Female,NA,72-103 years,8297,10x Genomics,Single-nucleus RNA sequencing,NA
AD013001,GSE157827,32989152,AD,Healthy,,Human,Prefrontal cortex,Male,"1,2",85.4 years,22602,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD013002,GSE157827,32989152,AD,Healthy,,Human,Prefrontal cortex,Female,"1,2",85.4 years,7406,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD013003,GSE157827,32989152,AD,Disease,AD013001; AD013002,Human,Prefrontal cortex,Male,"""4-6""",74.6 years,27522,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD013004,GSE157827,32989152,AD,Disease,AD013001; AD013002,Human,Prefrontal cortex,Female,"""4-6""",74.6 years,5368,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD014001,syn21438358,33257666,AD,Healthy,,Human,Prefrontal cortex,Male,3,93-96 years,9931,10x Genomics,Single-cell RNA sequencing,NA
AD014002,syn21438358,33257666,AD,Healthy,,Human,Prefrontal cortex,Female,3,93-96 years,4352,10x Genomics,Single-cell RNA sequencing,NA
AD014003,syn21438358,33257666,AD,Disease,AD014001; AD014002,Human,Prefrontal cortex,Male,"""1-3""",79-98 years,24276,10x Genomics,Single-cell RNA sequencing,NA
AD014004,syn21438358,33257666,AD,Disease,AD014001; AD014002,Human,Prefrontal cortex,Female,"""1-3""",79-98 years,26625,10x Genomics,Single-cell RNA sequencing,NA
AD015001,GSE156183,33446504,AD,Healthy,,Mouse,Cortex,Male,NA,8 months,12149,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG)
AD015002,GSE156183,33446504,AD,Healthy,,Mouse,Cortex,Female,NA,8 months,5993,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG)
AD015003,GSE156183,33446504,AD,Healthy,,Mouse,Cortex,Female,NA,8 months,13579,10x Genomics,Single-nucleus RNA sequencing,Trem2-/--5XFAD (IgG)
AD015004,GSE156183,33446504,AD,Healthy,,Mouse,Cortex,Male,NA,8 months,9307,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG)
AD015005,GSE156183,33446504,AD,Healthy,,Mouse,Cortex,Female,NA,8 months,16665,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG)
AD015006,GSE156183,33446504,AD,Disease,AD015001; AD015002; AD015003; AD015004; AD015005,Mouse,Cortex,Male,NA,8 months,30463,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (hT2AB)
AD015007,GSE156183,33446504,AD,Disease,AD015001; AD015002; AD015003; AD015004; AD015005,Mouse,Cortex,Female,NA,8 months,11754,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (hT2AB)
AD015008,GSE156183,33446504,AD,Disease,AD015001; AD015002; AD015003; AD015004; AD015005,Mouse,Cortex,Female,NA,8 months,1905,10x Genomics,Single-nucleus RNA sequencing,Trem2-/--5XFAD (hT2AB)
AD016001,GSE160512; GSE181786; GSE153895,34965428,AD,Healthy,,Mouse,Hippocampus,Mixed,NA,8 months,14811,10x Genomics,Single-nucleus RNA sequencing,mixed
AD016002,GSE160512; GSE181786; GSE153895,34965428,AD,Healthy,,Mouse,Hippocampus,Mixed,NA,8 months,29345,10x Genomics,Single-nucleus RNA sequencing,mixed
AD016003,GSE160512; GSE181786; GSE153895,34965428,AD,Disease,AD016001,Mouse,Hippocampus,Mixed,NA,7 months,7110,10x Genomics,Single-nucleus RNA sequencing,mixed
AD016004,GSE160512; GSE181786; GSE153895,34965428,AD,Disease,AD016002,Mouse,Hippocampus,Mixed,NA,15 months,3360,10x Genomics,Single-nucleus RNA sequencing,mixed
AD017001,GSE166548,33606969,AD,Healthy,,Mouse,Other/combined,Mixed,6,18-19 months,3454,Smart-seq2,Single-nucleus RNA sequencing,C57BL/6J
AD017002,GSE166304,33606969,AD,Healthy,,Mouse,Other/combined,Female,6,Unknown,5729,Smart-seq2,Single-nucleus RNA sequencing,no data avaiable
AD017003,GSE166548,33606969,AD,Disease,AD017001,Mouse,Other/combined,Mixed,6,18-19 months,5384,Smart-seq2,Single-nucleus RNA sequencing,App NL-G-F; Trem2−/−
AD017004,GSE166304,33606969,AD,Disease,AD017002,Mouse,Other/combined,Female,6,Unknown,5064,Smart-seq2,Single-nucleus RNA sequencing,no data avaiable
AD018001,GSE143758,32341542,AD,Healthy,,Mouse,Hippocampus,Male,NA,15 months,6695,10x Genomics,Single-nucleus RNA sequencing,C57BL/6
