Paper_ID,Public_data_id,Disease,Pubmed_id,protocol,methodology,title,author,citation,abstract,doi,Date_Published,Brain_Region,Species,Cell numbers,
AD001,syn18485175,AD,31042697,10x Genomics,Single-nucleus RNA sequencing,Single-cell Transcriptomic Analysis of Alzheimer's Disease,"Hansruedi Mathys, Jose Davila-Velderrain, Zhuyu Peng, Fan Gao, Shahin Mohammadi, Jennie Z. Young, Madhvi Menon, Liang He, Fatema Abdurrob, Xueqiao Jiang, Anthony J. Martorell, Richard M. Ransohoff, Brian P. Hafler, David A. Bennett, Manolis Kellis & Li-Huei Tsai ","Mathys, H., Davila-Velderrain, J., Peng, Z., Gao, F., Mohammadi, S., Young, J. Z., ... & Tsai, L. H. (2019). Single-cell transcriptomic analysis of Alzheimer’s disease. Nature, 570(7761), 332-337.","Alzheimer’s disease is a pervasive neurodegenerative disorder, the molecular complexity of which remains poorly understood. Here, we analysed 80,660 single-nucleus transcriptomes from the prefrontal cortex of 48 individuals with varying degrees of Alzheimer’s disease pathology. Across six major brain cell types, we identified transcriptionally distinct subpopulations, including those associated with pathology and characterized by regulators of myelination, inflammation, and neuron survival. The strongest disease-associated changes appeared early in pathological progression and were highly cell-type specific, whereas genes upregulated at late stages were common across cell types and primarily involved in the global stress response. Notably, we found that female cells were overrepresented in disease-associated subpopulations, and that transcriptional responses were substantially different between sexes in several cell types, including oligodendrocytes. Overall, myelination-related processes were recurrently perturbed in multiple cell types, suggesting that myelination has a key role in Alzheimer’s disease pathophysiology. Our single-cell transcriptomic resource provides a blueprint for interrogating the molecular and cellular basis of Alzheimer’s disease.",10.1038/s41586-019-1195-2,5/1/19,Prefrontal cortex,Human,,
AD001,syn21125841,AD,31932797,10x Genomics,Single-nucleus RNA sequencing,Human_and_Mouse Single-Nucleus Transcriptomics Reveal TREM2-dependent_and_TREM2-independent Cellular Responses in Alzheimer's Disease,"Yingyue Zhou, Wilbur M. Song, Prabhakar S. Andhey, Amanda Swain, Tyler Levy, Kelly R. Miller, Pietro L. Poliani, Manuela Cominelli, Shikha Grover, Susan Gilfillan, Marina Cella, Tyler K. Ulland, Konstantin Zaitsev, Akinori Miyashita, Takeshi Ikeuchi, Makoto Sainouchi, Akiyoshi Kakita, David A. Bennett, Julie A. Schneider, Michael R. Nichols, Sean A. Beausoleil, Jason D. Ulrich, David M. Holtzman, Maxim N. Artyomov & Marco Colonna ","Zhou, Y., Song, W. M., Andhey, P. S., Swain, A., Levy, T., Miller, K. R., ... & Colonna, M. (2020). Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer’s disease. Nature medicine, 26(1), 131-142.","Glia have been implicated in Alzheimer’s disease (AD) pathogenesis. Variants of the microglia receptor triggering receptor expressed on myeloid cells 2 (TREM2) increase AD risk, and activation of disease-associated microglia (DAM) is dependent on TREM2 in mouse models of AD. We surveyed gene-expression changes associated with AD pathology and TREM2 in 5XFAD mice and in human AD by single-nucleus RNA sequencing. We confirmed the presence of Trem2-dependent DAM and identified a previously undiscovered Serpina3n+C4b+ reactive oligodendrocyte population in mice. Interestingly, remarkably different glial phenotypes were evident in human AD. Microglia signature was reminiscent of IRF8-driven reactive microglia in peripheral-nerve injury. Oligodendrocyte signatures suggested impaired axonal myelination and metabolic adaptation to neuronal degeneration. Astrocyte profiles indicated weakened metabolic coordination with neurons. Notably, the reactive phenotype of microglia was less evident in TREM2-R47H and TREM2-R62H carriers than in non-carriers, demonstrating a TREM2 requirement in both mouse and human AD, despite the marked species-specific differences.",10.1038/s41591-019-0695-9,1/13/20,Prefrontal cortex,Human,,
AD002,GSE138852,AD,31768052,DroNc-seq,Single-nucleus RNA sequencing,A Single-Cell Atlas of Entorhinal Cortex From Individuals With Alzheimer's Disease Reveals Cell-Type-Specific Gene Expression Regulation,"Alexandra Grubman, Gabriel Chew, John F. Ouyang, Guizhi Sun, Xin Yi Choo, Catriona McLean, Rebecca K. Simmons, Sam Buckberry, Dulce B. Vargas-Landin, Daniel Poppe, Jahnvi Pflueger, Ryan Lister, Owen J. L. Rackham, Enrico Petretto & Jose M. Polo ","Zhu, F., Elnozahy, S., Lawlor, J., & Kuchibhotla, K. V. (2023). The cholinergic basal forebrain provides a parallel channel for state-dependent sensory signaling to auditory cortex. Nature neuroscience, 26(5), 810-819.","There is currently little information available about how individual cell types contribute to Alzheimer’s disease. Here we applied single-nucleus RNA sequencing to entorhinal cortex samples from control and Alzheimer’s disease brains (n = 6 per group), yielding a total of 13,214 high-quality nuclei. We detail cell-type-specific gene expression patterns, unveiling how transcriptional changes in specific cell subpopulations are associated with Alzheimer’s disease. We report that the Alzheimer’s disease risk gene APOE is specifically repressed in Alzheimer’s disease oligodendrocyte progenitor cells and astrocyte subpopulations and upregulated in an Alzheimer’s disease-specific microglial subopulation. Integrating transcription factor regulatory modules with Alzheimer’s disease risk loci revealed drivers of cell-type-specific state transitions towards Alzheimer’s disease. For example, transcription factor EB, a master regulator of lysosomal function, regulates multiple disease genes in a specific Alzheimer’s disease astrocyte subpopulation. These results provide insights into the coordinated control of Alzheimer’s disease risk genes and their cell-type-specific contribution to disease susceptibility. These results are available at http://adsn.ddnetbio.com.",10.1038/s41593-019-0539-4,11/25/19,Entorhinal Cortex,Human,,
AD002,GSE147528,AD,33432193,10x Genomics,Single-nucleus RNA sequencing,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease,"Kun Leng, Emmy Li, Rana Eser, Antonia Piergies, Rene Sit, Michelle Tan, Norma Neff, Song Hua Li, Roberta Diehl Rodriguez, Claudia Kimie Suemoto, Renata Elaine Paraizo Leite, Alexander J. Ehrenberg, Carlos A. Pasqualucci, William W. Seeley, Salvatore Spina, Helmut Heinsen, Lea T. Grinberg & Martin Kampmann ","Leng, K., Li, E., Eser, R., Piergies, A., Sit, R., Tan, M., ... & Kampmann, M. (2021). Molecular characterization of selectively vulnerable neurons in Alzheimer’s disease. Nature neuroscience, 24(2), 276-287.","Alzheimer’s disease (AD) is characterized by the selective vulnerability of specific neuronal populations, the molecular signatures of which are largely unknown. To identify and characterize selectively vulnerable neuronal populations, we used single-nucleus RNA sequencing to profile the caudal entorhinal cortex and the superior frontal gyrus—brain regions where neurofibrillary inclusions and neuronal loss occur early and late in AD, respectively—from postmortem brains spanning the progression of AD-type tau neurofibrillary pathology. We identified RORB as a marker of selectively vulnerable excitatory neurons in the entorhinal cortex and subsequently validated their depletion and selective susceptibility to neurofibrillary inclusions during disease progression using quantitative neuropathological methods. We also discovered an astrocyte subpopulation, likely representing reactive astrocytes, characterized by decreased expression of genes involved in homeostatic functions. Our characterization of selectively vulnerable neurons in AD paves the way for future mechanistic studies of selective vulnerability and potential therapeutic strategies for enhancing neuronal resilience.",10.1038/s41593-020-00764-7,1/11/21,Entorhinal Cortex,Human,,
AD003,GSE140510,AD,31932797,10x Genomics,Single-nucleus RNA sequencing,Human_and_Mouse Single-Nucleus Transcriptomics Reveal TREM2-dependent_and_TREM2-independent Cellular Responses in Alzheimer's Disease,"Yingyue Zhou, Wilbur M. Song, Prabhakar S. Andhey, Amanda Swain, Tyler Levy, Kelly R. Miller, Pietro L. Poliani, Manuela Cominelli, Shikha Grover, Susan Gilfillan, Marina Cella, Tyler K. Ulland, Konstantin Zaitsev, Akinori Miyashita, Takeshi Ikeuchi, Makoto Sainouchi, Akiyoshi Kakita, David A. Bennett, Julie A. Schneider, Michael R. Nichols, Sean A. Beausoleil, Jason D. Ulrich, David M. Holtzman, Maxim N. Artyomov & Marco Colonna ","Zhou, Y., Song, W. M., Andhey, P. S., Swain, A., Levy, T., Miller, K. R., ... & Colonna, M. (2020). Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer’s disease. Nature medicine, 26(1), 131-142.","Glia have been implicated in Alzheimer’s disease (AD) pathogenesis. Variants of the microglia receptor triggering receptor expressed on myeloid cells 2 (TREM2) increase AD risk, and activation of disease-associated microglia (DAM) is dependent on TREM2 in mouse models of AD. We surveyed gene-expression changes associated with AD pathology and TREM2 in 5XFAD mice and in human AD by single-nucleus RNA sequencing. We confirmed the presence of Trem2-dependent DAM and identified a previously undiscovered Serpina3n+C4b+ reactive oligodendrocyte population in mice. Interestingly, remarkably different glial phenotypes were evident in human AD. Microglia signature was reminiscent of IRF8-driven reactive microglia in peripheral-nerve injury. Oligodendrocyte signatures suggested impaired axonal myelination and metabolic adaptation to neuronal degeneration. Astrocyte profiles indicated weakened metabolic coordination with neurons. Notably, the reactive phenotype of microglia was less evident in TREM2-R47H and TREM2-R62H carriers than in non-carriers, demonstrating a TREM2 requirement in both mouse and human AD, despite the marked species-specific differences.",10.1038/s41591-019-0695-9,1/13/20,Cortex,Mouse,,
AD003,GSE98969,AD,28602351,MARS-seq,Single-cell RNA sequencing,A Unique Microglia Type Associated With Restricting Development of Alzheimer's Disease,"Hadas Keren-Shaul1,6 ∙ Amit Spinrad1,2,6 ∙ Assaf Weiner1,3,6 assaf.weiner@weizmann.ac.il ∙ Orit Matcovitch-Natan1,2,6 ∙ Raz Dvir-Szternfeld2 ∙ Tyler K. Ulland4 ∙ Eyal David1 ∙ Kuti Baruch2 ∙ David Lara-Astaiso1 ∙ Beata Toth5 ∙ Shalev Itzkovitz5 ∙ Marco Colonna4 ∙ Michal Schwartz2,7 michal.schwartz@weizmann.ac.il ∙ Ido Amit1","Keren-Shaul, H., Spinrad, A., Weiner, A., Matcovitch-Natan, O., Dvir-Szternfeld, R., Ulland, T. K., ... & Amit, I. (2017). A unique microglia type associated with restricting development of Alzheimer’s disease. Cell, 169(7), 1276-1290.","Alzheimer’s disease (AD) is a detrimental neurodegenerative disease with no effective treatments. Due to cellular heterogeneity, defining the roles of immune cell subsets in AD onset and progression has been challenging. Using transcriptional single-cell sorting, we comprehensively map all immune populations in wild-type and AD-transgenic (Tg-AD) mouse brains. We describe a novel microglia type associated with neurodegenerative diseases (DAM) and identify markers, spatial localization, and pathways associated with these cells. Immunohistochemical staining of mice and human brain slices shows DAM with intracellular/phagocytic Aβ particles. Single-cell analysis of DAM in Tg-AD and triggering receptor expressed on myeloid cells 2 (Trem2)−/− Tg-AD reveals that the DAM program is activated in a two-step process. Activation is initiated in a Trem2-independent manner that involves downregulation of microglia checkpoints, followed by activation of a Trem2-dependent program. This unique microglia-type has the potential to restrict neurodegeneration, which may have important implications for future treatment of AD and other neurodegenerative diseases.",10.1016/j.cell.2017.05.018,6/15/17,Cortex,Mouse,,
AD003,GSE140399,AD,31932797,10x Genomics,Single-nucleus RNA sequencing,Human_and_Mouse Single-Nucleus Transcriptomics Reveal TREM2-dependent_and_TREM2-independent Cellular Responses in Alzheimer's Disease,"Yingyue Zhou, Wilbur M. Song, Prabhakar S. Andhey, Amanda Swain, Tyler Levy, Kelly R. Miller, Pietro L. Poliani, Manuela Cominelli, Shikha Grover, Susan Gilfillan, Marina Cella, Tyler K. Ulland, Konstantin Zaitsev, Akinori Miyashita, Takeshi Ikeuchi, Makoto Sainouchi, Akiyoshi Kakita, David A. Bennett, Julie A. Schneider, Michael R. Nichols, Sean A. Beausoleil, Jason D. Ulrich, David M. Holtzman, Maxim N. Artyomov & Marco Colonna ","Zhou, Y., Song, W. M., Andhey, P. S., Swain, A., Levy, T., Miller, K. R., & Poliani, P. L. (2020). Author Correction: Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer's disease. Nature medicine, 26(6), 981-982.","Glia have been implicated in Alzheimer’s disease (AD) pathogenesis. Variants of the microglia receptor triggering receptor expressed on myeloid cells 2 (TREM2) increase AD risk, and activation of disease-associated microglia (DAM) is dependent on TREM2 in mouse models of AD. We surveyed gene-expression changes associated with AD pathology and TREM2 in 5XFAD mice and in human AD by single-nucleus RNA sequencing. We confirmed the presence of Trem2-dependent DAM and identified a previously undiscovered Serpina3n+C4b+ reactive oligodendrocyte population in mice. Interestingly, remarkably different glial phenotypes were evident in human AD. Microglia signature was reminiscent of IRF8-driven reactive microglia in peripheral-nerve injury. Oligodendrocyte signatures suggested impaired axonal myelination and metabolic adaptation to neuronal degeneration. Astrocyte profiles indicated weakened metabolic coordination with neurons. Notably, the reactive phenotype of microglia was less evident in TREM2-R47H and TREM2-R62H carriers than in non-carriers, demonstrating a TREM2 requirement in both mouse and human AD, despite the marked species-specific differences.",10.1038/s41591-019-0695-9,1/13/20,Cortex,Mouse,,
AD004,GSE147495,AD,32320664,10x Genomics,Single-cell RNA sequencing,IL-33-PU.1 Transcriptome Reprogramming Drives Functional State Transition_and_Clearance Activity of Microglia in Alzheimer's Disease,"Shun-Fat Lau1,2,3 ∙ Congping Chen2,4,5 ∙ Wing-Yu Fu1,2,3 ∙ Jianan Y. Qu2,4,5 ∙ Tom H. Cheung1,2 ∙ Amy K.Y. Fu1,2,3,6 ∙ Nancy Y. Ip1,2,3,6,","Lau, S. F., Chen, C., Fu, W. Y., Qu, J. Y., Cheung, T. H., Fu, A. K., & Ip, N. Y. (2020). IL-33-PU. 1 transcriptome reprogramming drives functional state transition and clearance activity of microglia in Alzheimer’s disease. Cell Reports, 31(3).","Impairment of microglial clearance activity contributes to beta-amyloid (Aβ) pathology in Alzheimer’s disease (AD). While the transcriptome profile of microglia directs microglial functions, how the microglial transcriptome can be regulated to alleviate AD pathology is largely unknown. Here, we show that injection of interleukin (IL)-33 in an AD transgenic mouse model ameliorates Aβ pathology by reprogramming microglial epigenetic and transcriptomic profiles to induce a microglial subpopulation with enhanced phagocytic activity. These IL-33-responsive microglia (IL-33RMs) express a distinct transcriptome signature that is highlighted by increased major histocompatibility complex class II genes and restored homeostatic signature genes. IL-33-induced remodeling of chromatin accessibility and PU.1 transcription factor binding at the signature genes of IL-33RM control their transcriptome reprogramming. Specifically, disrupting PU.1-DNA interaction abolishes the microglial state transition and Aβ clearance that is induced by IL-33. Thus, we define a PU.1-dependent transcriptional pathway that drives the IL-33-induced functional state transition of microglia, resulting in enhanced Aβ clearance.",10.1016/j.celrep.2020.107530,4/21/20,Other/combined,Mouse,,
AD005,GSE98969,AD,28602351,MARS-seq,Single-cell RNA sequencing,A Unique Microglia Type Associated With Restricting Development of Alzheimer's Disease,"Hadas Keren-Shaul 1, Amit Spinrad 2, Assaf Weiner 3, Orit Matcovitch-Natan 2, Raz Dvir-Szternfeld 4, Tyler K Ulland 5, Eyal David 1, Kuti Baruch 4, David Lara-Astaiso 1, Beata Toth 6, Shalev Itzkovitz 6, Marco Colonna 5, Michal Schwartz 7, Ido Amit 8","Keren-Shaul, H., Spinrad, A., Weiner, A., Matcovitch-Natan, O., Dvir-Szternfeld, R., Ulland, T. K., ... & Amit, I. (2017). A unique microglia type associated with restricting development of Alzheimer’s disease. Cell, 169(7), 1276-1290.","Alzheimer's disease (AD) is a detrimental neurodegenerative disease with no effective treatments. Due to cellular heterogeneity, defining the roles of immune cell subsets in AD onset and progression has been challenging. Using transcriptional single-cell sorting, we comprehensively map all immune populations in wild-type and AD-transgenic (Tg-AD) mouse brains. We describe a novel microglia type associated with neurodegenerative diseases (DAM) and identify markers, spatial localization, and pathways associated with these cells. Immunohistochemical staining of mice and human brain slices shows DAM with intracellular/phagocytic Aβ particles. Single-cell analysis of DAM in Tg-AD and triggering receptor expressed on myeloid cells 2 (Trem2)-/- Tg-AD reveals that the DAM program is activated in a two-step process. Activation is initiated in a Trem2-independent manner that involves downregulation of microglia checkpoints, followed by activation of a Trem2-dependent program. This unique microglia-type has the potential to restrict neurodegeneration, which may have important implications for future treatment of AD and other neurodegenerative diseases. VIDEO ABSTRACT.",10.1016/j.cell.2017.05.018,6/15/17,Whole brain,Mouse,,
AD006,GSE143758,AD,32341542,10x Genomics,Single-nucleus RNA sequencing,Disease-associated astrocytes in Alzheimer's disease_and_aging,"Naomi Habib, Cristin McCabe, Sedi Medina, Miriam Varshavsky, Daniel Kitsberg, Raz Dvir-Szternfeld, Gilad Green, Danielle Dionne, Lan Nguyen, Jamie L. Marshall, Fei Chen, Feng Zhang, Tommy Kaplan, Aviv Regev & Michal Schwartz ","Habib, N., McCabe, C., Medina, S., Varshavsky, M., Kitsberg, D., Dvir-Szternfeld, R., ... & Schwartz, M. (2020). Disease-associated astrocytes in Alzheimer’s disease and aging. Nature neuroscience, 23(6), 701-706.","The role of non-neuronal cells in Alzheimer’s disease progression has not been fully elucidated. Using single-nucleus RNA sequencing, we identified a population of disease-associated astrocytes in an Alzheimer’s disease mouse model. These disease-associated astrocytes appeared at early disease stages and increased in abundance with disease progression. We discovered that similar astrocytes appeared in aged wild-type mice and in aging human brains, suggesting their linkage to genetic and age-related factors.",10.1038/s41593-020-0624-8,4/27/20,Hippocampus,Mouse,,
